Description,Address,Price(Rands),Bedrooms,Bathrooms,Toilets,Garage
A Beautiful home with so much to offer!,"Mondeor, 183 Colworth",1749000,3,3.0,3,3
Designed for Worry-free Living.,Equestria,1440000,2,1.0,0,0
Well Positioned Plot in Popular Kelderhof with Approved Plan,"Kelderhof Country Village, 1 Livingstone Road",1250000,0,0.0,0,0
Neat beautiful Home,Ridgeway,1400000,3,2.0,2,0
Luxury met Tranquility!,"Langebaan Country Estate, 1191 Dolphyn Close",3295000,3,2.5,3,2
Musgrave Road Apartment,Musgrave,1190000,2,1.0,3,0
One-of-a-kind property in Oranjeville.,Oranjeville,1650000,2,1.0,1,0
Tranquil Home in the heart of the bushveld!,Louis Trichardt,790000,3,3.0,3,1
Four Bedroom House For Sale In West Beach,"Port Alfred, 36 West Beach Drive",3700000,4,4.0,3,0
A building with a multitude of possibilities.,"Windermere, 33 Steel Road",7500000,10,4.0,5,0
Airport Road House,Mafikeng Rural,799000,3,2.0,0,0
A Cut Above,Vanderbijlpark CE 3,590000,3,1.0,1,0
Under Offer,"Struisbaai, 19 Marlyn",2700000,5,3.0,3,2
Vacant Sand for Sale in Mogwase,Mogwase,450000,0,0.0,0,0
House with outbuilding,King Williams Town Central,700000,3,2.0,2,0
Golf View House,Mafikeng,2150000,5,3.0,0,0
Three bedroom house in Rustenburg North,Rustenburg North,750000,3,1.0,1,0
"Apartment Living, Budget Friendly, Â±R3995pm Bond Payment","Horison View, 46Samoa/2 Hossack Avenue",589000,2,1.0,1,1
Good size duplex in SW 1,Vanderbijlpark SW 1,900000,3,1.0,2,1
Family home with one bedroom flat in Die Heuwel Ext,Die Heuwel & Ext,1490000,3,2.0,2,2
Warm - family home,Ncandu Park,860000,3,1.5,2,0
Idyllic renovated townhouse,Komatipoort,1095000,3,2.0,2,0
Nest Or Invest,"Ballito Central, 102B Compensation Beach Road",3500000,2,2.0,3,0
Great for the Serious Investor!,Muckleneuk,465000,2,1.0,0,0
Fantastic Development Opportunity,Bryanston,9500000,0,0.0,0,0
Amazing at every Angle!,Bedfordview,1600000,1,2.0,2,1
Brand New Apartment With Golf Course Views,"Ruimsig, 125Fairway/568 Hole-in-One Road",890000,2,2.0,2,0
Summerstrand R7 900 000 + VAT,Summerstrand,7900000,8,8.0,9,3
1.7ha Land for sale - with commercial potential.,Monavoni,4500000,0,0.0,0,0
Low maintenance home in the Harbour area,"Stilbaai Wes, 13 Tornyn street",3395000,6,4.0,4,2
Vacant Land / Plot for Sale in Kleinmond,"Kleinmond Central, 52 4th Street",400000,0,0.0,0,0
Beautifully renovated 3 bedroom Duplex,"Celtisdal, 9 Blouvalk Close",1299000,3,3.0,3,1
Located in a High Growth Area.,Sunair Park,12000000,5,3.0,7,3
Room for more,Aquadene,670000,2,1.0,7,0
Move in and live,Arboretum,750000,2,1.0,0,0
Living the Country Dream. Location is key!,Kwambonambi,1990000,3,2.0,2,2
Super Mansion on 5000 Sq m Stand in Upmarket Sonneveld.,Sonneveld,3800000,5,4.0,4,4
Brand New Beautiful Lifestyle,Wavecrest,1995000,3,2.0,4,0
